step,sim_time_s,altitude_km,latitude_deg,longitude_deg,battery_soc,solar_power_w,power_draw_w,in_eclipse,in_saa,fdir_mode,seu_active,gs_visible,panel_eff,drag_coeff,thrust_x,thrust_y,thrust_z,throttle,deep_sleep,payload_on,fdir_overridden,is_done,done_reason
5000,25005,575.3547601128712,55.45476294493225,18.466187506771703,1,89.67504805351244,55,0,0,0,0,3,0.9963894228168049,2.265123644151503,-0.9999525,-0.99642354,-0.9999692,0,0,1,0,0,0
10000,50005,552.0494046487611,-66.92287612345889,-116.70235443568558,0.9889046843406866,89.91397467642378,55,0,0,0,0,0,0.9990441630713752,2.2900554542887344,-0.9998258,-0.8116275,-0.9777354,0,0,1,0,0,0
15000,75005,576.9086928707593,12.540158207512206,-24.72515751810494,0.9781023477405049,0,5,1,0,0,0,0,0.9999733672833668,2.3479198288987453,-0.99999833,-0.997642,-0.99987894,0,1,0,1,0,0
20000,100005,572.600822157,43.01368972009196,59.348649357765936,1,89.81789518728148,55,0,0,0,0,0,0.9979766131920165,2.4134702406498616,-0.9999291,-0.99241614,-0.99994034,0,0,1,0,0,0
25000,125005,552.1592536453318,-78.14177171666626,-93.6040372032615,0.9931623027252592,89.9892805189032,55,0,0,0,0,0,0.9998808946544799,2.3613230086210915,-0.99990296,-0.828542,-0.9855721,0,0,1,0,0,0
30000,150005,579.359223159905,25.128799658499336,18.3495542642504,0.963464700029325,0,5,1,0,0,0,0,0.9979315846747673,2.446818397522941,-0.99999744,-0.99852616,-0.9998672,0,1,0,1,0,0
35000,175005,569.4501469483412,30.449092243487364,101.6390672454145,1,89.64860759684757,55,0,0,0,0,0,0.996095639964973,2.3818020462107516,-0.99989814,-0.9882467,-0.99987614,0,0,1,0,0,0
40000,200005,553.5950882119605,-81.31941133422092,-109.35386361716985,0.977006480063855,89.55841497456228,55,0,0,0,0,0,0.9950934997173587,2.4146572946717075,-0.99994993,-0.8688391,-0.9930143,0,0,1,0,0,0
45000,225005,580.8082911891197,37.68351369622077,76.01415300060437,0.9713378999403128,0,5,1,0,0,0,0,0.9917282203742644,2.4120102063269866,-0.99999636,-0.99892145,-0.9998531,0,1,0,0,0,0
50000,250005,566.0554547475349,17.813413532818355,159.59700449907874,0.9860084195581909,89.06002520043529,55,0,0,0,0,0,0.9895558355603921,2.4677737306285765,-0.99984354,-0.9833687,-0.99968946,0,0,1,0,0,0
55000,275005,556.2571485070011,-71.64274895764707,-103.58585607034804,1,89.27190825873627,55,0,0,0,0,0,0.9919100917637365,2.428324013868958,-0.99996734,-0.9120694,-0.99631774,0,0,1,0,0,0
60000,300005,581.2206754797298,50.171440679457085,117.65000789968143,0.9725690186866154,0,5,1,0,0,0,0,0.989264815396814,2.4772286287735636,-0.9999949,-0.99917585,-0.9998411,0,1,0,0,0,0
65000,325005,562.6071654101634,5.130894504091092,-157.20862731288315,0.9871204451790225,89.07870846929407,55,0,0,0,0,0,0.9897634274366008,2.4008947555007536,-0.99978316,-0.97711277,-0.99935526,0,0,1,0,0,0
70000,350005,559.9155474356112,-59.58059034570136,-69.44382298360989,0.9947424386168812,89.16805092038923,55,0,0,0,0,0,0.9907561213376582,2.349232182503009,-0.99997497,-0.94959736,-0.9981486,0,0,1,0,0,0
75000,375005,580.646302844928,62.496877734142814,156.86945740670708,0.9848362841944608,0,5,1,0,0,0,0,0.9917363641450343,2.2872690577817756,-0.9999938,-0.9993283,-0.9998337,0,1,0,0,0,0
80000,400005,559.3303725258902,-7.5818071918668615,-113.94588789809687,1,89.30933143680215,55,0,0,0,0,0,0.9923259048533573,2.331466127610815,-0.9997178,-0.9660271,-0.9985449,0,0,1,0,0,0
85000,425005,564.2328087000305,-47.10664497714545,-29.43753047433998,1,0,5,1,0,0,0,0,0.9926978414713127,2.2827153967441545,-0.9999979,-0.9886413,-0.9995756,0,1,0,1,0,0
90000,450005,579.1985359607961,74.25645123797155,-171.90844444610096,0.9704453296019452,89.4388133027117,5,0,0,0,0,0,0.9937645922523521,2.2503012631150225,-0.99999785,-0.99944884,-0.99998856,0,0,1,0,0,0
95000,475005,556.4748303695569,-20.30956834355968,-70.79469324973861,0.9995590325738706,89.10131435849529,55,0,0,0,0,0,0.990014603983281,2.229712882474442,-0.9996734,-0.94463146,-0.9965234,0,0,1,0,0,0
100000,500005,568.8041607590685,-34.504878182889634,12.501551657827456,0.9903567069293014,0,5,1,0,0,0,0,0.9903943749058158,2.2265653527248332,-0.9999985,-0.99208057,-0.9997052,0,1,0,1,0,0
105000,525005,577.0363282862972,82.15425138549773,179.27859946708875,0.9938489432360168,89.01053796065129,55,0,0,0,0,0,0.9890059773405698,2.200106888033956,-0.999995,-0.99919075,-0.9999853,0,0,1,0,0,0
110000,550005,554.2968504825176,-33.03245404553115,-27.985555649837494,1,88.94269124365493,55,0,0,0,0,0,0.9882521249294993,2.24058842165263,-0.9996133,-0.8829974,-0.9860062,0,0,1,0,0,0
115000,575005,573.2045860532307,-21.85378112198658,55.26095225260578,0.9820374320386448,0,5,1,0,0,0,0,0.9867798371322265,2.3213601020296473,-0.9999986,-0.9934018,-0.9997866,0,1,0,1,0,0
120000,600005,574.3415811139466,75.8983979918956,160.09327056978526,0.9960630691630418,88.7223704761868,55,0,0,0,0,0,0.9858041164020754,2.280008080151639,-0.9999829,-0.99859816,-0.99997795,0,0,1,0,0,0
125000,625005,553.0336892370997,-45.71520946730806,14.065430631476115,1,88.88823245012948,55,0,0,0,0,0,0.9876470272236608,2.284602491752927,-0.9996625,-0.838079,-0.97552186,0,0,1,0,0,0
130000,650005,577.0331978638505,-9.185467840001968,113.43442019363577,0.9889849056136204,0,5,1,0,0,0,0,0.9925826414735999,2.317742726642674,-0.9999989,-0.99494106,-0.9998623,0,1,0,1,0,0
135000,675005,571.2957684008934,64.28354956807098,-156.33797590180566,1,89.20927232244586,55,0,0,0,0,0,0.9912141369160651,2.375575926109455,-0.99996626,-0.99792516,-0.9999736,0,0,1,0,0,0
140000,700005,552.8632632853696,-58.282417112902976,69.39295237773823,1,89.44936571300192,55,0,0,0,0,0,0.993881841255577,2.2499042749816383,-0.9997619,-0.8210639,-0.9739719,0,0,1,0,0,0
145000,725005,579.9596502696004,3.485521877217651,156.69934003919636,0.99746853138267,0,5,1,0,0,0,0,0.9956211099432236,2.3567762159831025,-0.9999988,-0.996508,-0.99988204,0,1,0,1,0,0
150000,750005,568.076205476551,51.910633915072694,-117.7750658047183,1,89.75608273853987,55,0,0,0,0,0,0.9972898082059987,2.4079629801130653,-0.99994725,-0.99626243,-0.9999651,0,0,1,0,0,0
155000,775005,553.8828024374643,-70.48457618177464,104.49170466480889,1,89.49581001398657,55,0,0,0,0,0,0.9943978890442952,2.443137528483732,-0.9998613,-0.81541353,-0.9776238,0,0,1,0,0,0
